E, [2017-09-01T07:29:17.667858 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-ec2-1.3.2/lib/kitchen/driver/ec2.rb:281:in `actual_platform'
E, [2017-09-01T07:29:17.667868 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-ec2-1.3.2/lib/kitchen/driver/ec2.rb:311:in `update_username'
E, [2017-09-01T07:29:17.667877 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-ec2-1.3.2/lib/kitchen/driver/ec2.rb:172:in `create'
E, [2017-09-01T07:29:17.667886 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/instance.rb:460:in `public_send'
E, [2017-09-01T07:29:17.667899 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/instance.rb:460:in `block in perform_action'
E, [2017-09-01T07:29:17.667908 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/instance.rb:527:in `synchronize_or_call'
E, [2017-09-01T07:29:17.667918 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/instance.rb:489:in `block in action'
E, [2017-09-01T07:29:17.667927 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2017-09-01T07:29:17.667936 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/instance.rb:488:in `action'
E, [2017-09-01T07:29:17.667946 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/instance.rb:460:in `perform_action'
E, [2017-09-01T07:29:17.667955 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/instance.rb:370:in `create_action'
E, [2017-09-01T07:29:17.667964 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/instance.rb:359:in `block in transition_to'
E, [2017-09-01T07:29:17.667974 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/instance.rb:358:in `each'
E, [2017-09-01T07:29:17.667986 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/instance.rb:358:in `transition_to'
E, [2017-09-01T07:29:17.667997 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/instance.rb:124:in `create'
E, [2017-09-01T07:29:17.668006 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:197:in `public_send'
E, [2017-09-01T07:29:17.668019 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:197:in `run_action_in_thread'
E, [2017-09-01T07:29:17.668029 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:169:in `block (2 levels) in run_action'
E, [2017-09-01T07:29:17.668039 #26718] ERROR -- default-linux-200: ----End Backtrace-----
